REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cln_1.wav	 enh_1.wav	 SQValue=1.382	 1.382	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.359	 1.359	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.193	 1.193	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.246	 1.246	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.527	 1.527	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.543	 1.543	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.284	 1.284	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.454	 1.454	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.846	 1.846	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.839	 1.839	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.499	 1.499	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.739	 1.739	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.723	 1.723	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.487	 1.487	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.602	 1.602	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.660	 1.660	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.683	 1.683	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.568	 1.568	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.705	 1.705	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.806	 1.806	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.490	 1.490	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.762	 1.762	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.727	 1.727	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.575	 1.575	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.433	 1.433	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.511	 1.511	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.431	 1.431	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.606	 1.606	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.770	 1.770	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.805	 1.805	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.619	 1.619	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.768	 1.768	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.607	 1.607	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.426	 1.426	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.507	 1.507	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.560	 1.560	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.551	 1.551	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.505	 1.505	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.719	 1.719	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.701	 1.701	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.186	 1.186	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.653	 1.653	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.547	 1.547	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.236	 1.236	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.621	 1.621	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.750	 1.750	 0.000	 0	 16000	0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.764	 1.764	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.536	 1.536	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.838	 1.838	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.688	 1.688	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.559	 1.559	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.856	 1.856	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.812	 1.812	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.539	 1.539	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.701	 1.701	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.578	 1.578	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.738	 1.738	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.344	 1.344	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.622	 1.622	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.851	 1.851	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.683	 1.683	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.829	 1.829	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.684	 1.684	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.655	 1.655	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.531	 1.531	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.584	 1.584	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.630	 1.630	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.511	 1.511	 0.000	 0	 16000	0.0000
